,genero,edad,pais,nivel de estudios,puesto de trabajo,sector,tamaño de la compañia,continente,rama
0,Man,50-54,Indonesia,Master’s degree,Program/Project Manager,Manufacturing/Fabrication,"1000-9,999 employees",Asia,other
1,Man,22-24,Pakistan,Master’s degree,Software Engineer,Academics/Education,"1000-9,999 employees",Asia,developer
2,Man,45-49,Mexico,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees",América del Sur,data
6,Man,30-34,India,Bachelor’s degree,Data Scientist,Computers/Technology,"10,000 or more employees",Asia,data
12,Man,45-49,Nigeria,Master’s degree,Program/Project Manager,Shipping/Transportation,"1000-9,999 employees",África,other
14,Man,35-39,Greece,Doctoral degree,Research Scientist,Academics/Education,50-249 employees,Europa,data
15,Man,50-54,Belgium,Bachelor’s degree,Data Analyst,Energy/Mining,"1000-9,999 employees",Europa,data
16,Man,18-21,Pakistan,Bachelor’s degree,Data Scientist,Academics/Education,0-49 employees,Asia,data
17,Man,22-24,Japan,Master’s degree,Software Engineer,,,Asia,developer
20,Woman,25-29,Turkey,Bachelor’s degree,Data Scientist,Computers/Technology,"10,000 or more employees",Asia,data
22,Man,35-39,Brazil,Master’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,América del Sur,data
24,Woman,25-29,Poland,Master’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,Europa,data
25,Man,45-49,Brazil,Doctoral degree,Research Scientist,Academics/Education,50-249 employees,América del Sur,data
27,Woman,22-24,"Iran, Islamic Republic of...",Bachelor’s degree,Data Scientist,Academics/Education,0-49 employees,África,data
30,Man,30-34,India,Master’s degree,Data Scientist,Insurance/Risk Assessment,250-999 employees,Asia,data
32,Woman,30-34,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,0-49 employees,África,data
37,Man,22-24,Japan,No formal education past high school,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
39,Man,25-29,Brazil,Master’s degree,Data Scientist,Insurance/Risk Assessment,"10,000 or more employees",América del Sur,data
41,Man,55-59,United States of America,Master’s degree,Software Engineer,Computers/Technology,0-49 employees,América del Norte,developer
42,Woman,30-34,Viet Nam,Master’s degree,Machine Learning Engineer,Academics/Education,50-249 employees,Asia,data
44,Man,40-44,Israel,Master’s degree,Data Scientist,Accounting/Finance,50-249 employees,Asia,data
45,Man,22-24,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,0-49 employees,Asia,data
47,Man,25-29,India,Bachelor’s degree,Machine Learning Engineer,Hospitality/Entertainment/Sports,"10,000 or more employees",Asia,data
48,Woman,30-34,United States of America,Master’s degree,Data Scientist,Other,"10,000 or more employees",América del Norte,data
50,Man,40-44,United States of America,Bachelor’s degree,Research Scientist,Manufacturing/Fabrication,"1000-9,999 employees",América del Norte,data
