,genero,edad,pais,nivel de estudios,puesto de trabajo,sector,tamaño de la compañia
0,Man,50-54,Indonesia,Master’s degree,Program/Project Manager,Manufacturing/Fabrication,"1000-9,999 employees"
1,Man,22-24,Pakistan,Master’s degree,Software Engineer,Academics/Education,"1000-9,999 employees"
2,Man,45-49,Mexico,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees"
3,Man,45-49,India,Doctoral degree,Other,Academics/Education,50-249 employees
4,Woman,25-29,India,I prefer not to answer,Currently not employed,,
5,Woman,18-21,India,Some college/university study without earning a bachelor’s degree,Student,,
6,Man,30-34,India,Bachelor’s degree,Data Scientist,Computers/Technology,"10,000 or more employees"
7,Man,22-24,Russia,Bachelor’s degree,Currently not employed,,
8,Man,30-34,Turkey,I prefer not to answer,Other,Manufacturing/Fabrication,50-249 employees
9,Man,40-44,Australia,Doctoral degree,Other,Other,0-49 employees
10,Woman,18-21,India,Master’s degree,Student,,
11,Woman,18-21,India,Master’s degree,Student,,
12,Man,45-49,Nigeria,Master’s degree,Program/Project Manager,Shipping/Transportation,"1000-9,999 employees"
13,Man,22-24,Nigeria,Bachelor’s degree,Other,Academics/Education,0-49 employees
14,Man,35-39,Greece,Doctoral degree,Research Scientist,Academics/Education,50-249 employees
15,Man,50-54,Belgium,Bachelor’s degree,Data Analyst,Energy/Mining,"1000-9,999 employees"
16,Man,18-21,Pakistan,Bachelor’s degree,Data Scientist,Academics/Education,0-49 employees
17,Man,22-24,Japan,Master’s degree,Software Engineer,,
18,Man,30-34,Egypt,Bachelor’s degree,Other,Shipping/Transportation,"10,000 or more employees"
19,Man,70+,Singapore,Bachelor’s degree,Other,Manufacturing/Fabrication,250-999 employees
20,Woman,25-29,Turkey,Bachelor’s degree,Data Scientist,Computers/Technology,"10,000 or more employees"
21,Man,30-34,Indonesia,Master’s degree,Student,,
22,Man,35-39,Brazil,Master’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees
23,Man,18-21,India,Bachelor’s degree,Student,,
24,Woman,25-29,Poland,Master’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees
25,Man,45-49,Brazil,Doctoral degree,Research Scientist,Academics/Education,50-249 employees
26,Man,22-24,China,Master’s degree,Student,,
27,Woman,22-24,"Iran, Islamic Republic of...",Bachelor’s degree,Data Scientist,Academics/Education,0-49 employees
28,Man,18-21,India,Bachelor’s degree,Student,,
29,Man,22-24,India,Bachelor’s degree,Other,Computers/Technology,"1000-9,999 employees"
30,Man,30-34,India,Master’s degree,Data Scientist,Insurance/Risk Assessment,250-999 employees
31,Nonbinary,22-24,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Manufacturing/Fabrication,250-999 employees
32,Woman,30-34,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,0-49 employees
33,Man,22-24,India,Bachelor’s degree,Student,,
34,Woman,30-34,Brazil,Bachelor’s degree,Currently not employed,,
35,Woman,25-29,Egypt,Master’s degree,Currently not employed,,
36,Man,30-34,Brazil,Bachelor’s degree,Student,,
37,Man,22-24,Japan,No formal education past high school,Software Engineer,Computers/Technology,0-49 employees
38,Man,18-21,India,Bachelor’s degree,Student,,
39,Man,25-29,Brazil,Master’s degree,Data Scientist,Insurance/Risk Assessment,"10,000 or more employees"
40,Man,25-29,Italy,Master’s degree,Other,Energy/Mining,0-49 employees
41,Man,55-59,United States of America,Master’s degree,Software Engineer,Computers/Technology,0-49 employees
42,Woman,30-34,Viet Nam,Master’s degree,Machine Learning Engineer,Academics/Education,50-249 employees
43,Man,18-21,United States of America,Some college/university study without earning a bachelor’s degree,Student,,
44,Man,40-44,Israel,Master’s degree,Data Scientist,Accounting/Finance,50-249 employees
45,Man,22-24,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,0-49 employees
46,Woman,18-21,Egypt,Bachelor’s degree,Student,,
47,Man,25-29,India,Bachelor’s degree,Machine Learning Engineer,Hospitality/Entertainment/Sports,"10,000 or more employees"
48,Woman,30-34,United States of America,Master’s degree,Data Scientist,Other,"10,000 or more employees"
49,Man,25-29,Peru,Some college/university study without earning a bachelor’s degree,Currently not employed,,
50,Man,40-44,United States of America,Bachelor’s degree,Research Scientist,Manufacturing/Fabrication,"1000-9,999 employees"
51,Man,40-44,South Africa,Master’s degree,Data Analyst,Manufacturing/Fabrication,250-999 employees
52,Man,40-44,Other,Master’s degree,Business Analyst,Accounting/Finance,50-249 employees
53,Man,30-34,Spain,Master’s degree,Currently not employed,,
54,Woman,22-24,Bangladesh,Bachelor’s degree,Software Engineer,Computers/Technology,250-999 employees
55,Woman,30-34,Indonesia,Master’s degree,Student,,
56,Woman,35-39,Russia,I prefer not to answer,Data Scientist,Academics/Education,"1000-9,999 employees"
57,Man,18-21,India,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,50-249 employees
58,Man,35-39,India,Bachelor’s degree,Program/Project Manager,Government/Public Service,"10,000 or more employees"
59,Man,18-21,Japan,Some college/university study without earning a bachelor’s degree,Student,,
60,Man,18-21,Russia,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees
61,Man,30-34,Japan,Master’s degree,Data Scientist,Online Service/Internet-based Services,250-999 employees
62,Man,18-21,India,Bachelor’s degree,Student,,
63,Man,18-21,India,Bachelor’s degree,Student,,
64,Man,40-44,Russia,Doctoral degree,Data Engineer,Accounting/Finance,0-49 employees
