,edad,pais,nivel de estudios,sector,años de experiencia,años de experiencia en ML,continente,Python, C++, SQL, MATLAB, Other, C, Java, Javascript, R, Swift, Bash, Julia
0,25-29,Poland,Master’s degree,Computers/Technology,3-5 years,Under 1 year,Europa,,Utilizado,,,,,,,,,,
1,30-34,Viet Nam,Master’s degree,Academics/Education,1-3 years,1-2 years,Asia,Utilizado,,,,,,,,,,,
2,22-24,Morocco,Master’s degree,Computers/Technology,1-3 years,Under 1 year,África,,,,,Utilizado,,,,,,,
3,18-21,Bangladesh,Bachelor’s degree,Non-profit/Service,under 1 years,Under 1 year,Asia,Utilizado,,,,,,,,,,,
4,18-21,India,Bachelor’s degree,Academics/Education,1-3 years,Under 1 year,Asia,,Utilizado,,,,,,,,,,
5,22-24,Pakistan,Master’s degree,Academics/Education,under 1 years,Under 1 year,Asia,,Utilizado,,,,,,,,,,
6,22-24,India,Bachelor’s degree,Academics/Education,3-5 years,Under 1 year,Asia,,Utilizado,,,,,,,,,,
7,22-24,Ukraine,Master’s degree,Shipping/Transportation,3-5 years,2-3 years,Europa,,,Utilizado,,,,,,,,,
8,18-21,Turkey,Some college/university study without earning a bachelor’s degree,Academics/Education,under 1 years,I do not use machine learning methods,Asia,Utilizado,,,,,,,,,,,
9,40-44,France,Doctoral degree,Computers/Technology,20+ years,10-20 years,Europa,Utilizado,,,,,,,,,,,
10,22-24,Viet Nam,Some college/university study without earning a bachelor’s degree,Computers/Technology,1-3 years,Under 1 year,Asia,,,,Utilizado,,,,,,,,
11,40-44,India,Doctoral degree,Academics/Education,3-5 years,3-4 years,Asia,,,,Utilizado,,,,,,,,
13,22-24,South Korea,Some college/university study without earning a bachelor’s degree,Academics/Education,1-3 years,I do not use machine learning methods,Asia,,,,,,,Utilizado,,,,,
14,30-34,Japan,Bachelor’s degree,Computers/Technology,3-5 years,Under 1 year,Asia,,,,,Utilizado,,,,,,,
15,22-24,India,Master’s degree,Computers/Technology,under 1 years,1-2 years,Asia,Utilizado,,,,,,,,,,,
16,25-29,India,Master’s degree,Government/Public Service,1-3 years,Under 1 year,Asia,Utilizado,,,,,,,,,,,
17,22-24,Pakistan,Some college/university study without earning a bachelor’s degree,Computers/Technology,under 1 years,Under 1 year,Asia,Utilizado,,,,,,,,,,,
18,35-39,United States of America,Doctoral degree,Hospitality/Entertainment/Sports,10-20 years,10-20 years,América del Norte,Utilizado,,,,,,,,,,,
19,18-21,India,Bachelor’s degree,Other,under 1 years,Under 1 year,Asia,,,,,,Utilizado,,,,,,
20,25-29,Mexico,Bachelor’s degree,Online Business/Internet-based Sales,3-5 years,2-3 years,América del Sur,,,Utilizado,,,,,,,,,
21,22-24,China,Master’s degree,Computers/Technology,1-3 years,Under 1 year,Asia,,,,,,,,Utilizado,,,,
22,25-29,Saudi Arabia,Master’s degree,Energy/Mining,1-3 years,1-2 years,Asia,,,,Utilizado,,,,,,,,
23,22-24,Czech Republic,Master’s degree,Retail/Sales,1-3 years,Under 1 year,Europa,,,Utilizado,,,,,,,,,
24,22-24,Viet Nam,Some college/university study without earning a bachelor’s degree,Computers/Technology,under 1 years,Under 1 year,Asia,,,,,,,,Utilizado,,,,
25,25-29,Portugal,Master’s degree,Academics/Education,3-5 years,1-2 years,Europa,Utilizado,,,,,,,,,,,
26,30-34,Ukraine,Master’s degree,Government/Public Service,5-10 years,3-4 years,Europa,,,,,,,,Utilizado,,,,
27,18-21,India,Bachelor’s degree,Academics/Education,3-5 years,Under 1 year,Asia,,Utilizado,,,,,,,,,,
28,22-24,India,Master’s degree,Computers/Technology,3-5 years,3-4 years,Asia,Utilizado,,,,,,,,,,,
29,22-24,India,Bachelor’s degree,Accounting/Finance,3-5 years,Under 1 year,Asia,,,Utilizado,,,,,,,,,
30,18-21,India,Doctoral degree,Academics/Education,under 1 years,Under 1 year,Asia,,,,,,,Utilizado,,,,,
31,25-29,China,Master’s degree,Online Service/Internet-based Services,1-3 years,2-3 years,Asia,,,,Utilizado,,,,,,,,
32,30-34,Pakistan,Doctoral degree,Computers/Technology,3-5 years,2-3 years,Asia,,,Utilizado,,,,,,,,,
33,30-34,Sweden,Master’s degree,Computers/Technology,3-5 years,2-3 years,Europa,,,,,,,,,,,Utilizado,
34,35-39,Egypt,Professional doctorate,Academics/Education,5-10 years,5-10 years,África,,,,Utilizado,,,,,,,,
35,30-34,"Iran, Islamic Republic of...",Doctoral degree,Academics/Education,10-20 years,10-20 years,África,,,,Utilizado,,,,,,,,
