,genero,edad,pais,nivel de estudios,puesto de trabajo,sector,tamaño de la compañia,continente,rama,lon,lat
0,Man,50-54,Indonesia,Master’s degree,Program/Project Manager,Manufacturing/Fabrication,"1000-9,999 employees",Asia,other,106.84513,-6.21462
1,Woman,30-34,Indonesia,Master’s degree,Data Engineer,Marketing/CRM,"1000-9,999 employees",Asia,data,106.84513,-6.21462
2,Man,35-39,Indonesia,No formal education past high school,Data Scientist,Academics/Education,"10,000 or more employees",Asia,data,106.84513,-6.21462
3,Man,18-21,Indonesia,Master’s degree,Research Scientist,Energy/Mining,50-249 employees,Asia,data,106.84513,-6.21462
4,Man,30-34,Indonesia,Master’s degree,Data Analyst,Academics/Education,50-249 employees,Asia,data,106.84513,-6.21462
5,Man,18-21,Indonesia,Bachelor’s degree,Machine Learning Engineer,Academics/Education,250-999 employees,Asia,data,106.84513,-6.21462
6,Man,25-29,Indonesia,Doctoral degree,Statistician,Academics/Education,0-49 employees,Asia,other,106.84513,-6.21462
7,Man,30-34,Indonesia,Bachelor’s degree,Program/Project Manager,Hospitality/Entertainment/Sports,50-249 employees,Asia,other,106.84513,-6.21462
8,Woman,18-21,Indonesia,Some college/university study without earning a bachelor’s degree,Data Analyst,,,Asia,data,106.84513,-6.21462
9,Woman,22-24,Indonesia,Bachelor’s degree,DBA/Database Engineer,Academics/Education,50-249 employees,Asia,data,106.84513,-6.21462
10,Man,25-29,Indonesia,Bachelor’s degree,Software Engineer,Retail/Sales,0-49 employees,Asia,developer,106.84513,-6.21462
11,Man,40-44,Indonesia,Master’s degree,Data Analyst,Manufacturing/Fabrication,"1000-9,999 employees",Asia,data,106.84513,-6.21462
12,Man,22-24,Indonesia,Bachelor’s degree,Data Engineer,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
13,Man,22-24,Indonesia,Bachelor’s degree,Data Scientist,Computers/Technology,250-999 employees,Asia,data,106.84513,-6.21462
14,Man,60-69,Indonesia,Master’s degree,Program/Project Manager,Academics/Education,0-49 employees,Asia,other,106.84513,-6.21462
15,Man,25-29,Indonesia,Bachelor’s degree,Program/Project Manager,Shipping/Transportation,"1000-9,999 employees",Asia,other,106.84513,-6.21462
16,Woman,18-21,Indonesia,Some college/university study without earning a bachelor’s degree,Business Analyst,Accounting/Finance,"10,000 or more employees",Asia,data,106.84513,-6.21462
17,Man,18-21,Indonesia,Bachelor’s degree,Machine Learning Engineer,Other,0-49 employees,Asia,data,106.84513,-6.21462
18,Man,22-24,Indonesia,I prefer not to answer,Statistician,Government/Public Service,0-49 employees,Asia,other,106.84513,-6.21462
19,Man,25-29,Indonesia,Bachelor’s degree,Statistician,Other,0-49 employees,Asia,other,106.84513,-6.21462
20,Man,35-39,Indonesia,Bachelor’s degree,DBA/Database Engineer,Computers/Technology,0-49 employees,Asia,data,106.84513,-6.21462
21,Man,30-34,Indonesia,No formal education past high school,Developer Relations/Advocacy,Academics/Education,0-49 employees,Asia,other,106.84513,-6.21462
22,Man,22-24,Indonesia,Bachelor’s degree,Data Scientist,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
23,Man,35-39,Indonesia,Master’s degree,Data Analyst,Academics/Education,"1000-9,999 employees",Asia,data,106.84513,-6.21462
24,Man,25-29,Indonesia,I prefer not to answer,Data Scientist,Other,0-49 employees,Asia,data,106.84513,-6.21462
25,Man,35-39,Indonesia,Bachelor’s degree,DBA/Database Engineer,Marketing/CRM,250-999 employees,Asia,data,106.84513,-6.21462
26,Man,40-44,Indonesia,Doctoral degree,Business Analyst,Accounting/Finance,"10,000 or more employees",Asia,data,106.84513,-6.21462
27,Man,22-24,Indonesia,Master’s degree,Data Engineer,,,Asia,data,106.84513,-6.21462
